,img_name,leaf_weight,내부온도관측치Min,내부온도관측치Max,내부습도관측치Min,내부습도관측치Max,CO2관측치Max-Min,EC관측치Min,EC관측치Max,최근분무량Max,백색광추정광량Max,적색광추정광량Max,청색광추정광량Max,pred_result,CO2update,분무량update
0,CASE01_01.png,49.193,17.399999618530273,29.39999961853028,64.0,87.80000305175781,238.0,15.600000381469728,23.89999961853028,0.0,47.9892,61.0935,0,46.822227,2.45811325946882,0.0
1,CASE01_02.png,59.764,16.5,30.89999961853028,54.20000076293945,89.19999694824219,257.0,14.5,27.299999237060547,0.0,47.9892,61.0935,0,56.311695,2.4174198332554098,0.0
2,CASE01_03.png,72.209,17.600000381469727,30.700000762939453,42.79999923706055,88.0,289.0,15.800000190734863,25.600000381469727,0.0,47.9892,61.0935,0,67.36718,2.462357875515114,0.0
3,CASE01_04.png,85.737,17.899999618530273,26.100000381469727,60.900001525878906,89.9000015258789,271.0,17.0,19.799999237060547,0.0,47.9892,61.0935,0,80.02517,2.084211849136594,0.0
4,CASE01_05.png,102.537,17.899999618530273,29.0,66.4000015258789,89.5999984741211,291.0,17.399999618530273,23.5,0.0,47.9892,61.0935,0,96.53545,1.9858675835778987,0.0
5,CASE01_06.png,123.359,17.899999618530273,31.100000381469727,54.09999847412109,89.5999984741211,312.0,17.700000762939453,29.100000381469727,0.0,47.9892,61.0935,0,115.20041,1.8886151674805165,0.0
6,CASE01_07.png,156.149,18.200000762939453,31.100000381469727,61.20000076293945,85.4000015258789,345.0,18.0,29.799999237060547,0.0,47.9892,61.0935,0,149.1688,1.732199019123477,0.0
7,CASE01_08.png,174.931,18.89999961853028,32.099998474121094,66.5,87.69999694824219,329.0,18.600000381469727,30.89999961853028,0.0,47.9892,61.0935,0,167.72267,1.5110966625570044,0.0
8,CASE01_09.png,187.523,20.799999237060547,31.100000381469727,73.69999694824219,87.9000015258789,341.0,20.799999237060547,28.39999961853028,0.0,47.9892,61.0935,0,175.32068,1.5133985926191948,0.0
9,CASE02_01.png,194.662,16.899999618530273,28.299999237060547,69.5999984741211,90.5,342.0,16.600000381469727,24.5,0.0,47.9892,61.0935,0,184.14764,1.4606168996621107,0.0
10,CASE02_02.png,198.366,15.899999618530272,29.799999237060547,64.19999694824219,87.80000305175781,372.0,15.600000381469728,27.89999961853028,0.0,47.9892,61.0935,0,188.15343,1.5620182333716546,0.0
11,CASE02_03.png,196.788,17.299999237060547,27.299999237060547,71.19999694824219,88.69999694824219,373.0,17.200000762939453,21.100000381469727,0.0,47.9892,61.0935,0,189.92592,1.5546465342302325,0.0
12,CASE02_04.png,197.342,16.899999618530273,27.39999961853028,68.30000305175781,90.0999984741211,315.0,16.799999237060547,21.39999961853028,0.0,47.9892,61.0935,0,189.13162,1.317266198422442,0.0
13,CASE02_05.png,200.202,16.0,28.299999237060547,69.4000015258789,89.80000305175781,328.0,15.600000381469728,25.89999961853028,0.0,47.9892,61.0935,0,190.33832,1.3647428341847443,0.0
14,CASE02_06.png,201.48,16.0,29.700000762939453,70.30000305175781,89.30000305175781,347.0,15.800000190734863,27.700000762939453,0.0,47.9892,61.0935,0,187.87482,1.4587504469787933,0.0
15,CASE02_07.png,197.409,19.0,28.100000381469727,69.0999984741211,87.0999984741211,334.0,18.700000762939453,25.799999237060547,0.0,47.9892,61.0935,0,181.15587,1.4449124739942794,0.0
16,CASE02_08.png,185.996,16.299999237060547,28.200000762939453,66.0999984741211,88.19999694824219,341.0,16.100000381469727,24.100000381469727,0.0,47.9892,61.0935,0,178.63004,1.4914925440243985,0.0
17,CASE02_09.png,165.73,16.100000381469727,28.200000762939453,64.4000015258789,90.1999969482422,318.0,15.899999618530272,26.100000381469727,0.0,47.9892,61.0935,0,159.06927,1.5210269782833221,0.0
18,CASE02_10.png,153.971,,,,,,,,10000,0,0,0,143.55289,,41.05884352265333
